Hxa_bar,Hxb_bar,azimuth,cov_group,d,date,days,dep,elevation,error_var,height,index,kind,lat,lon,next,number,platform_dir1,platform_dir2,platform_dir3,platform_height,platform_key,platform_lon,platform_lat,platform_nyquist,platform_vert_coord,previous,sdHxa,sdHxb,seconds,utime,value,vert_coord,x,x_m,y,y_m,z
,,-163.61046,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.700394,-97.65474,,,,,,,,,,,,,,,72000,1715198400,22.58467674255371,,-17499.984,,-59499.992,,1000
,,-161.88695,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.754387,-97.65474,,,,,,,,,,,,,,,72000,1715198400,31.098840713500977,,-17499.984,,-53499.992,,1000
,,-159.77515,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.80838,-97.65474,,,,,,,,,,,,,,,72000,1715198400,20.528179168701172,,-17499.984,,-47500.0,,1000
,,-157.1355,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.862373,-97.65474,,,,,,,,,,,,,,,72000,1715198400,13.582313537597656,,-17499.984,,-41500.0,,1000
,,-169.06091,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.700394,-97.58864,,,,,,,,,,,,,,,72000,1715198400,18.456140518188477,,-11499.984,,-59499.992,,1000
,,-167.8687,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.754387,-97.58864,,,,,,,,,,,,,,,72000,1715198400,25.486343383789062,,-11499.984,,-53499.992,,1000
,,-166.39029,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.80838,-97.58864,,,,,,,,,,,,,,,72000,1715198400,14.62197208404541,,-11499.984,,-47500.0,,1000
,,-174.71877,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.700394,-97.52254,,,,,,,,,,,,,,,72000,1715198400,9.467154502868652,,-5499.9844,,-59499.992,,1000
,,-174.1304,,,2024-05-08 20:00:00,633344000,,0,4,1000,,12,34.754387,-97.52254,,,,,,,,,,,,,,,72000,1715198400,15.864848136901855,,-5499.9844,,-53499.992,,1000
,,-141.39896,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.98527,,,,,,,,,,,,,,,72000,1715198400,6.079023268203315,,-47500.0,,-59499.992,,3000
,,-138.3997,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.98527,,,,,,,,,,,,,,,72000,1715198400,6.012114146745716,,-47500.0,,-53499.992,,3000
,,-147.64215,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.646404,-97.91917,,,,,,,,,,,,,,,72000,1715198400,11.253894439886864,,-41500.0,,-65499.992,,3000
,,-145.10503,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.91917,,,,,,,,,,,,,,,72000,1715198400,5.614649684032344,,-41500.0,,-59499.992,,3000
,,-142.19923,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.91917,,,,,,,,,,,,,,,72000,1715198400,6.683990107142506,,-41500.0,,-53499.992,,3000
,,-138.8568,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.91917,,,,,,,,,,,,,,,72000,1715198400,11.160603932212098,,-41500.0,,-47500.0,,3000
,,-153.59543,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.59241,-97.85306,,,,,,,,,,,,,,,72000,1715198400,9.376913688950822,,-35500.0,,-71499.99,,3000
,,-151.54298,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.646404,-97.85306,,,,,,,,,,,,,,,72000,1715198400,10.797443153768086,,-35500.0,,-65499.992,,3000
,,-149.17805,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.85306,,,,,,,,,,,,,,,72000,1715198400,8.036309068927523,,-35500.0,,-59499.992,,3000
,,-146.43367,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.85306,,,,,,,,,,,,,,,72000,1715198400,9.02461381488186,,-35500.0,,-53499.992,,3000
,,-143.22673,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.85306,,,,,,,,,,,,,,,72000,1715198400,9.911489897648948,,-35500.0,,-47500.0,,3000
,,-139.4556,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.862373,-97.85306,,,,,,,,,,,,,,,72000,1715198400,9.696523081023656,,-35500.0,,-41500.0,,3000
,,-157.57956,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.59241,-97.78695,,,,,,,,,,,,,,,72000,1715198400,9.63933901848469,,-29500.0,,-71499.99,,3000
,,-155.75407,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.646404,-97.78695,,,,,,,,,,,,,,,72000,1715198400,11.834011971448376,,-29500.0,,-65499.992,,3000
,,-153.62785,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.78695,,,,,,,,,,,,,,,72000,1715198400,8.306231298559794,,-29500.0,,-59499.992,,3000
,,-151.12758,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.78695,,,,,,,,,,,,,,,72000,1715198400,10.960603288400762,,-29500.0,,-53499.992,,3000
,,-148.15753,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.78695,,,,,,,,,,,,,,,72000,1715198400,11.144506436985466,,-29500.0,,-47500.0,,3000
,,-144.59312,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.862373,-97.78695,,,,,,,,,,,,,,,72000,1715198400,10.758247234873465,,-29500.0,,-41500.0,,3000
,,-161.80579,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.59241,-97.72085,,,,,,,,,,,,,,,72000,1715198400,10.45187628177871,,-23500.0,,-71499.99,,3000
,,-160.26309,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.646404,-97.72085,,,,,,,,,,,,,,,72000,1715198400,11.01180244343027,,-23500.0,,-65499.992,,3000
,,-158.44806,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.72085,,,,,,,,,,,,,,,72000,1715198400,8.748367325970605,,-23500.0,,-59499.992,,3000
,,-156.28639,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.754387,-97.72085,,,,,,,,,,,,,,,72000,1715198400,10.447201248730607,,-23500.0,,-53499.992,,3000
,,-153.6767,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.80838,-97.72085,,,,,,,,,,,,,,,72000,1715198400,11.040187017470771,,-23500.0,,-47500.0,,3000
,,-150.47864,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.862373,-97.72085,,,,,,,,,,,,,,,72000,1715198400,8.999335492790465,,-23500.0,,-41500.0,,3000
,,-146.49657,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.91637,-97.72085,,,,,,,,,,,,,,,72000,1715198400,9.476375054503421,,-23500.0,,-35500.0,,3000
,,-166.24693,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.59241,-97.65474,,,,,,,,,,,,,,,72000,1715198400,10.099034694774787,,-17499.984,,-71499.99,,3000
,,-165.04138,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.646404,-97.65474,,,,,,,,,,,,,,,72000,1715198400,11.339187687005506,,-17499.984,,-65499.992,,3000
,,-163.61046,,,2024-05-08 20:00:00,633344000,,0,4,3000,,11,34.700394,-97.65474,,,,,,,,,,,,,,,72000,1715198400,8.96133474224871,,-17499.984,,-59499.992,,3000
